day_number,class_level,topic,q1_text,q1_a,q1_b,q1_c,q1_correct,q2_text,q2_a,q2_b,q2_c,q2_correct,q3_text,q3_a,q3_b,q3_c,q3_correct
15,7,Why does a bicycle stay upright?,What is the main mechanism that keeps a moving bicycle balanced upright?,A moving bicycle stays upright through gyroscopic effects of spinning wheels and the rider making small steering corrections.,Bicycles stay upright because the weight of the rider presses evenly on both sides of the frame.,The rubber tyres create a magnetic interaction with the road that prevents the bicycle from falling.,q1_a,Why is understanding the physics of bicycle balance more useful than knowing a bicycle stays upright?,"Bicycles always fall over when stationary, so the mechanism only works when moving.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Balance is a skill only humans have, so the mechanism cannot be described scientifically.",q2_b,"If a bicycle were moving very slowly, what would you predict about its stability compared to a fast-moving bicycle?",A slow bicycle would be more stable because lower speed reduces vibrations in the wheels.,Speed has no effect on bicycle stability because the frame provides all the balance.,A slow bicycle would be less stable because the gyroscopic effect of spinning wheels is weaker at low speed.,q3_c
16,7,What makes electricity flow?,What causes electric current to flow through a conductor?,"A potential difference (voltage) pushes free electrons through a conductor, creating an electric current.","Electricity flows because atoms in a wire vibrate and bump into each other, passing energy along.",Current flows because positive charges in the wire are attracted toward the negative terminal of a battery.,q1_a,Why is understanding voltage and electron flow more useful than knowing that electricity comes from a battery?,Batteries produce magic energy that cannot be explained by electron movement.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Electrons never actually move in a wire; only energy moves, so the mechanism is irrelevant.",q2_b,"If you connected a wire between the two terminals of a battery without any bulb or resistor, what would you predict?",No current would flow because a bulb is required to complete the circuit.,The battery would produce light instead of current because the circuit is incomplete.,"A very large current would flow, heating the wire rapidly and quickly draining the battery.",q3_c
17,7,Why does a compass point north?,What is the main reason a compass needle always points toward magnetic north?,"The Earth behaves like a giant magnet, and the compass needle aligns with Earth's magnetic field lines.",The North Star exerts a gravitational pull on the iron in compass needles pointing them northward.,Compass needles are electrically charged and are attracted to the cold air found at the North Pole.,q1_a,Why is understanding Earth's magnetic field more useful than simply knowing a compass points north?,"A compass always points to true geographic north, so the magnetic field plays no role.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Magnetic fields are invisible and cannot be detected, so they are not useful to study.",q2_b,"If you placed a compass near a strong iron bar magnet, what would you predict would happen?",The compass would stop working because the iron would absorb all magnetic fields nearby.,The compass needle would point toward geographic north even more accurately near the magnet.,The compass needle would be deflected from north and point toward the bar magnet's poles instead.,q3_c
18,7,How do magnets work without touching?,What is the mechanism that allows magnets to attract or repel objects without physical contact?,Magnets create an invisible magnetic field in the surrounding space; objects within this field experience a force.,Magnets release tiny invisible particles called magnetons that physically push or pull on other objects.,Magnets attract objects by generating a static electric charge on their surface that grips metal.,q1_a,Why is understanding magnetic fields more useful than knowing that magnets attract iron?,"Magnets only attract iron, so the field concept is unnecessary for other materials.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Magnetic forces only work when magnets are in direct contact, so fields are not real.",q2_b,"If you increased the distance between two attracting magnets, what would you predict would happen to the force between them?",The force would stay the same because magnetic fields are uniform throughout space.,The force would increase because the magnetic field spreads out and becomes stronger farther away.,The force would decrease because the magnetic field becomes weaker with increasing distance.,q3_c
19,7,Why does iron rust?,What is the chemical process that causes iron to rust?,"Iron reacts with oxygen and water in the environment to form iron oxide, commonly known as rust.","Iron absorbs carbon dioxide from the air, which breaks down its surface into a reddish powder.",Iron rusts because the heat from sunlight causes the metal atoms to break apart and turn red.,q1_a,Why is understanding the chemistry of rusting more useful than knowing that iron turns reddish-brown?,Rust is only a colour change and does not involve any chemical reaction.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Rusting happens only in coastal areas, so the mechanism is not generally applicable.",q2_b,"If you coated an iron nail with a layer of paint before leaving it outside, what would you predict?",The nail would rust faster because paint traps moisture against the iron surface.,The nail would rust from the inside outward because paint blocks oxygen from escaping.,The nail would rust much more slowly because paint prevents oxygen and water from reaching the iron.,q3_c
20,7,What happens when food is digested?,What is the main process that happens when food is digested in the body?,Large food molecules are broken down by enzymes and acids into small nutrients that can be absorbed into the blood.,Food is burned by stomach heat to release energy directly into the muscles.,Food is compressed by the stomach into a liquid form that the body uses as fuel without chemical change.,q1_a,Why is understanding the enzyme-driven mechanism of digestion more useful than knowing food gets broken down?,"Food is digested by heat alone, so enzymes play no role in the process.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Digestion is identical in all animals, so studying the mechanism adds no new knowledge.",q2_b,"If a person's body could not produce the enzyme amylase, what would you predict about their digestion of starch?",Starch would be digested faster because the body would use acids instead of enzymes.,The person would absorb more starch directly through the stomach wall without breaking it down.,"Starch would not be broken down into sugars, causing poor absorption of carbohydrate energy.",q3_c
21,7,How do vaccines teach the immune system?,What is the mechanism by which vaccines protect a person against disease?,"A vaccine introduces a harmless form of a pathogen, training the immune system to produce antibodies before real infection occurs.",Vaccines inject chemical antibiotics that remain in the blood and kill any invading bacteria or viruses.,Vaccines strengthen the skin barrier to prevent viruses from entering the body through cuts.,q1_a,Why is understanding how the immune system is trained by vaccines more useful than knowing vaccines prevent disease?,"Vaccines work instantly and permanently, so the training mechanism does not matter.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,The immune system destroys all vaccines before they can have any effect on the body.,q2_b,"If a vaccine only produced a very weak immune response, what would you predict about protection against the real disease?",The person would be fully protected because even a small number of antibodies is enough.,The person would become immune faster because a weak response is less tiring for the body.,The person would have inadequate protection because too few antibodies would be available to fight the real infection.,q3_c
22,7,Why do we get fever?,What is the main biological reason the body produces a fever when infected?,The immune system raises body temperature to slow the growth of pathogens and speed up immune cell activity.,"Fever is caused by the body burning extra calories to produce antibodies, releasing heat as a by-product.",White blood cells generate fever to signal the brain to stop all normal body functions temporarily.,q1_a,Why is understanding the purpose of fever more useful than knowing that body temperature rises during illness?,"Fever is always harmful and has no useful purpose, so there is no beneficial mechanism.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Fever is caused only by environmental heat and has nothing to do with the immune system.,q2_b,"If a patient's fever became dangerously high (above 41°C), what would you predict about the risk to the body?","An extremely high fever would kill all pathogens instantly, curing the infection permanently.",A very high fever would boost the immune response so strongly that the body heals in hours.,An extremely high fever could damage brain cells and other tissues because proteins start to denature above safe temperatures.,q3_c
23,7,How do forests create rain?,What is the main mechanism by which forests contribute to rainfall?,"Trees release water vapour through transpiration; this vapour rises, cools, and condenses to form clouds that produce rain.",Forest soil absorbs rainwater and then shoots it upward as water vapour through tiny root pores.,Trees attract rain clouds magnetically because their tall canopies create an electrical charge in the atmosphere.,q1_a,Why is understanding the transpiration-precipitation cycle more useful than knowing forests produce rain?,Rain is produced only by the ocean; forests have no effect on rainfall at all.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"All vegetation produces identical amounts of water vapour, so forests are not special.",q2_b,"If a large forest were completely cut down, what would you predict would happen to the local rainfall over time?",Rainfall would increase because bare land absorbs more solar energy and heats the air more.,Rainfall would remain unchanged because clouds form independently of the vegetation below them.,Rainfall would decrease because less transpiration means less water vapour available to form clouds.,q3_c
24,7,Why is the sky blue?,What is the main reason the sky appears blue during the day?,The atmosphere scatters blue light from sunlight more than other colours because blue has a shorter wavelength; this scattered blue light reaches our eyes from all directions.,"The sky reflects blue light from the oceans, which cover most of the Earth's surface.",Blue gas molecules in the upper atmosphere absorb all other colours of sunlight and emit only blue light.,q1_a,Why is understanding Rayleigh scattering more useful than just knowing the sky looks blue?,The sky is only blue in tropical countries; in other regions it is a different colour.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Light scattering is the same for all colours, so Rayleigh scattering explains nothing special.",q2_b,Why does the sky look red or orange during sunrise and sunset rather than blue?,The Sun produces more red light in the morning and evening because it is cooler at those times.,"Clouds reflect the orange colour of the ground, making the sky appear reddish near the horizon.","Sunlight travels through more atmosphere near the horizon, scattering away most blue light and leaving red and orange.",q3_c
25,7,How do clouds form?,What is the mechanism by which clouds form in the atmosphere?,"Warm moist air rises, cools at higher altitudes, and water vapour condenses around tiny dust particles to form cloud droplets.",Clouds form when wind carries water directly from the ocean surface into the upper atmosphere as droplets.,Water vapour in the atmosphere becomes heavy enough to clump together into visible clouds without needing to cool down.,q1_a,Why is understanding condensation and cloud formation more useful than knowing that clouds are made of water?,"Clouds are made of ice crystals in all conditions, so condensation plays no role in cloud formation.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Cloud formation cannot be predicted because weather is entirely random.,q2_b,"If there were no dust particles in the atmosphere at all, what would you predict about cloud formation?",Clouds would form faster because clean air allows water vapour to condense more easily.,Clouds would be larger and darker because pure water droplets contain more energy.,Cloud formation would be greatly reduced because water vapour needs particles as condensation nuclei to form droplets.,q3_c
26,7,Why do earthquakes happen?,What is the main cause of earthquakes?,Earthquakes occur when tectonic plates move and the stress built up along their boundaries is suddenly released as seismic energy.,Earthquakes are caused by large underground explosions of volcanic gas trapped beneath the Earth's crust.,Earthquakes occur when underground rivers erode rock cavities until the ground above collapses inward.,q1_a,Why is understanding tectonic plate movement more useful than knowing that earthquakes shake the ground?,Tectonic plates do not move; earthquakes are caused entirely by human mining activities.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"All earthquakes are small and identical, so a detailed mechanism adds no value.",q2_b,"If two tectonic plates had been locked together without moving for a very long time, what would you predict when they finally shifted?",The plates would slide smoothly and cause no earthquake because the long rest reduced friction.,A small tremor would occur but no major earthquake because the plates had cooled down over time.,A large earthquake would likely occur because enormous stress energy built up during the locked period would be released suddenly.,q3_c
27,7,How do volcanoes work?,What is the main mechanism that causes a volcano to erupt?,"Molten rock (magma) from inside the Earth rises through cracks in the crust due to pressure, reaching the surface as lava during an eruption.",Volcanoes erupt when underground water reacts chemically with iron-rich rocks to produce explosive gas.,"Volcanic eruptions are caused by the Earth spinning, which flings hot material toward the surface near the equator.",q1_a,Why is understanding magma pressure and plate tectonics more useful than knowing volcanoes release lava?,Volcanic eruptions are random events that cannot be explained by pressure or plate movement.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"All volcanoes erupt identically, so understanding the mechanism explains no differences between them.",q2_b,"If pressure inside a volcano continued to build without any eruption for a very long time, what would you predict?",The pressure would eventually stabilise on its own as the magma cooled and solidified underground.,The volcano would become extinct because old pressure dissipates without erupting.,An extremely powerful eruption would eventually occur when the pressure exceeded the strength of the surrounding rock.,q3_c
28,7,Could humans live on Mars?,What is the main challenge that makes it difficult for humans to live on Mars without special equipment?,"Mars has a very thin atmosphere with almost no oxygen, extreme cold temperatures, and high radiation levels that are lethal without protection.",Mars has too much gravity for human bones and muscles to function normally without collapsing.,"Mars is covered entirely by liquid water oceans, making it impossible to build stable structures on the surface.",q1_a,Why is understanding the conditions on Mars more useful than simply knowing humans cannot currently live there?,"Mars is identical to Earth in all conditions, so there are no challenges to understand.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Human space travel to Mars is impossible and will never happen, so studying conditions there is pointless.",q2_b,"If scientists successfully created a pressurised habitat with breathable air on Mars, what remaining challenge would colonists still face?",The colonists would face no further challenges because breathable air solves all survival problems on Mars.,Colonists would need to deal with Mars's very strong magnetic field disrupting all electronic equipment.,"Colonists would still face extreme cold, harmful radiation, dust storms, and the need to grow food with limited resources.",q3_c
29,7,What would happen if Earth stopped rotating?,What is the main effect Earth's rotation has on life and the environment?,"Earth's rotation creates the cycle of day and night, drives weather patterns through the Coriolis effect, and maintains the planet's oblate shape.",Earth's rotation creates gravity by spinning; without it objects would float off the surface into space.,Earth's rotation powers photosynthesis in plants by ensuring every region receives equal amounts of sunlight each day.,q1_a,Why is understanding the effects of Earth's rotation more useful than just knowing the Earth spins?,"Earth's rotation has no effect on weather, time, or life — it only affects satellite orbits.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"The Earth stopped rotating millions of years ago, so studying its current rotation is irrelevant.",q2_b,"If Earth suddenly stopped rotating, what would you predict would happen to a person standing on the surface?",The person would feel lighter because stopping rotation reduces centrifugal force on the equator.,The person would experience no immediate change because gravity alone keeps people on the ground.,"The person would be thrown forward at tremendous speed due to inertia, as the surface stopped but the person kept moving.",q3_c
30,7,The Ultimate Challenge: Design a self-sustaining space habitat,What is the central idea behind designing a self-sustaining space habitat?,"A self-sustaining habitat must recycle air, water, and waste while producing its own food and energy without resupply from Earth.",A self-sustaining habitat is one that is built from materials found in space without using any Earth-manufactured components.,Self-sustainability in space means the habitat can operate for exactly one year before requiring a complete resupply mission.,q1_a,Why is understanding the mechanism of closed-loop life support more useful than knowing a habitat needs air and food?,"Space habitats are supplied continuously from Earth, so closed-loop systems are unnecessary to study.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Oxygen in space can be captured directly from starlight, so understanding recycling is irrelevant.",q2_b,"If the plant-growing system in a space habitat failed, what would you predict would happen to the crew over time?",The crew would be unaffected because space habitats store enough packaged food for decades.,The habitat's recycling system would automatically convert carbon dioxide back into food for the crew.,"The crew would face food shortages and rising carbon dioxide levels, as plants provide both food and oxygen recycling.",q3_c
1,8,What actually happens when you eat food?,What is the correct sequence of digestion in the human body?,"Mouth, oesophagus, stomach, small intestine, large intestine","Mouth, stomach, oesophagus, large intestine, small intestine","Oesophagus, mouth, stomach, small intestine, large intestine",q1_a,Why is identifying the mechanism of digestion more useful than memorising the result?,Memorised facts are always accurate and never need updating,A mechanism explains the cause-and-effect chain and allows prediction,Results are easier to remember than mechanisms in biology,q2_b,"If a person's stomach produced no acid, what would you predict?",Food would be digested faster due to reduced friction,More nutrients would be absorbed in the large intestine instead,Protein digestion would be severely impaired,q3_c
2,8,The microscopic battle between bacteria and antibiotics,How do antibiotics kill or stop bacteria?,They target bacterial cell structures that human cells do not have,They heat the bloodstream to kill bacteria through thermal shock,They remove oxygen from tissues so bacteria cannot respire,q1_a,Why is understanding the mechanism of antibiotic resistance important?,It helps doctors memorise drug names more easily,Knowing the mechanism helps predict and prevent resistance spreading,"Mechanisms are only useful for chemistry, not biology",q2_b,"If antibiotics are overused, what would you predict about bacteria?",Bacteria would become larger and easier to detect under microscopes,Bacteria would lose their ability to reproduce as quickly,"Resistant bacteria would survive and multiply, making treatment harder",q3_c
3,8,How does your immune system recognize an enemy?,What does the immune system use to identify foreign invaders?,Antigens on the surface of pathogens trigger immune recognition,The colour of pathogens is detected by white blood cells,Body temperature rises and burns pathogens before recognition,q1_a,Why is understanding the immune recognition mechanism useful?,It allows doctors to memorise the names of all pathogens,"It explains how vaccines and immunity work, enabling predictions","Immune mechanisms only apply to bacterial infections, not viruses",q2_b,"If a person encountered a pathogen for the second time, what would you predict?",The immune response would be slower because antibodies degrade over time,The body would have no memory of the pathogen and react identically,The immune response would be faster due to memory B cells,q3_c
4,8,Why does your heart beat continuously?,What keeps the heart beating without conscious effort?,The sinoatrial node generates electrical impulses that trigger contractions,Muscles in the chest wall compress the heart rhythmically,Blood pressure forces the heart valves to open and close repeatedly,q1_a,Why is knowing the mechanism of the heartbeat more useful than just knowing it beats?,The heartbeat mechanism helps athletes run faster during exercise,Knowing the mechanism allows us to understand heart disease and treatments,Memorising the heartbeat rate is sufficient for all medical purposes,q2_b,"If the sinoatrial node were damaged, what would you predict?",The heart would beat faster to compensate for reduced signal strength,Blood would circulate in the opposite direction through the veins,The heart's rhythm would become irregular or stop,q3_c
5,8,How do neurons carry information?,How do neurons transmit signals along their length?,An electrical impulse called an action potential travels along the axon,Neurons pass solid chemical pellets along hollow tubes to the brain,Light signals travel through transparent neuron fibres to receptors,q1_a,Why is understanding the neural mechanism more useful than memorising nerve names?,Nerve names are sufficient for understanding all neurological conditions,It enables predictions about what happens when nerves are damaged,"Mechanisms only matter for motor neurons, not sensory neurons",q2_b,"If the myelin sheath around a neuron were damaged, what would you predict?",The neuron would generate stronger signals to overcome the damage,The neuron would switch to chemical transmission instead of electrical,"Signal transmission would slow down or fail, causing nerve disorders",q3_c
6,8,Why do we have fingerprints?,What is the primary function of fingerprint ridges on human skin?,Fingerprint ridges improve grip by increasing friction between skin and objects,Fingerprints regulate sweat distribution to keep palms dry,Fingerprint patterns identify nerves under the skin for better sensation,q1_a,Why is understanding why fingerprints exist more useful than just describing their patterns?,Pattern descriptions are sufficient for forensic science applications,Understanding function allows predictions about people who lack fingerprints,"Fingerprint function only matters for primates, not humans specifically",q2_b,"If fingerprint ridges were completely smooth, what would you predict?",People would develop stronger nails to compensate for grip loss,Sweat glands in the fingertip would become more active instead,Grip on smooth or wet surfaces would be significantly reduced,q3_c
7,8,The science of friction,What causes friction between two surfaces?,Microscopic irregularities on surfaces interlock and resist sliding motion,Friction is caused by static electricity attracting surfaces together,Air molecules trapped between surfaces push back against movement,q1_a,Why is knowing how friction works more useful than just knowing it slows things down?,Knowing friction slows things down is enough for all engineering problems,"Understanding friction helps engineers design brakes, tyres, and lubricants","Friction mechanisms are only relevant to physics, not everyday engineering",q2_b,"If a lubricant were applied between two sliding surfaces, what would you predict?",Friction would increase because the lubricant adds extra mass to surfaces,Surfaces would bond together as the lubricant hardens under pressure,Friction would decrease because the lubricant separates the surfaces,q3_c
