day_number,class_level,topic,hook,lesson_url,think_question
24,7,Why is the sky blue?,why is the sky blue?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-24.html,What is the central phenomenon being explained today?
25,7,How do clouds form?,how do clouds form?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-25.html,What is the central phenomenon being explained today?
26,7,Why do earthquakes happen?,why do earthquakes happen?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-26.html,What is the central phenomenon being explained today?
27,7,How do volcanoes work?,how do volcanoes work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-27.html,What is the central phenomenon being explained today?
28,7,Could humans live on Mars?,could humans live on mars?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-28.html,What is the central phenomenon being explained today?
29,7,What would happen if Earth stopped rotating?,what would happen if earth stopped rotating?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-29.html,What is the central phenomenon being explained today?
30,7,The Ultimate Challenge: Design a self-sustaining space habitat,the ultimate challenge: design a self-sustaining space habitat?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-30.html,What is the central phenomenon being explained today?
1,8,What actually happens when you eat food?,what actually happens when you eat food?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-01.html,What is the central phenomenon being explained today?
2,8,The microscopic battle between bacteria and antibiotics,the microscopic battle between bacteria and antibiotics?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-02.html,What is the central phenomenon being explained today?
3,8,How does your immune system recognize an enemy?,how does your immune system recognize an enemy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-03.html,What is the central phenomenon being explained today?
4,8,Why does your heart beat continuously?,why does your heart beat continuously?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-04.html,What is the central phenomenon being explained today?
5,8,How do neurons carry information?,how do neurons carry information?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-05.html,What is the central phenomenon being explained today?
6,8,Why do we have fingerprints?,why do we have fingerprints?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-06.html,What is the central phenomenon being explained today?
7,8,The science of friction,the science of friction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-07.html,What is the central phenomenon being explained today?
8,8,Why can a giant ship float?,why can a giant ship float?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-08.html,What is the central phenomenon being explained today?
9,8,How does pressure change with depth?,how does pressure change with depth?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-09.html,What is the central phenomenon being explained today?
10,8,Why does a balloon expand at high altitude?,why does a balloon expand at high altitude?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-10.html,What is the central phenomenon being explained today?
11,8,How does a hydraulic lift lift a car?,how does a hydraulic lift lift a car?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-11.html,What is the central phenomenon being explained today?
12,8,How does an electric motor work?,how does an electric motor work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-12.html,What is the central phenomenon being explained today?
13,8,How does a generator produce electricity?,how does a generator produce electricity?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-13.html,What is the central phenomenon being explained today?
14,8,Why does lightning happen?,why does lightning happen?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-14.html,What is the central phenomenon being explained today?
15,8,How does a mobile phone transmit information?,how does a mobile phone transmit information?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-15.html,What is the central phenomenon being explained today?
16,8,What is actually happening inside a chemical reaction?,what is actually happening inside a chemical reaction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-16.html,What is the central phenomenon being explained today?
17,8,Why does fire need oxygen?,why does fire need oxygen?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-17.html,What is the central phenomenon being explained today?
18,8,Why do metals conduct electricity?,why do metals conduct electricity?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-18.html,What is the central phenomenon being explained today?
19,8,How is steel different from iron?,how is steel different from iron?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-19.html,What is the central phenomenon being explained today?
20,8,Plastics: miracle material or environmental problem?,plastics: miracle material or environmental problem?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-20.html,What is the central phenomenon being explained today?
21,8,How do crops get nitrogen?,how do crops get nitrogen?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-21.html,What is the central phenomenon being explained today?
22,8,Why are some animals disappearing?,why are some animals disappearing?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-22.html,What is the central phenomenon being explained today?
23,8,How does a food chain work?,how does a food chain work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-23.html,What is the central phenomenon being explained today?
24,8,What happens when an ecosystem loses one species?,what happens when an ecosystem loses one species?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-24.html,What is the central phenomenon being explained today?
25,8,How does rainwater become groundwater?,how does rainwater become groundwater?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-25.html,What is the central phenomenon being explained today?
26,8,Why do cyclones rotate?,why do cyclones rotate?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-26.html,What is the central phenomenon being explained today?
27,8,How do satellites stay in orbit?,how do satellites stay in orbit?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-27.html,What is the central phenomenon being explained today?
28,8,Why doesn't the Moon fall onto Earth?,why doesn't the moon fall onto earth?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-28.html,What is the central phenomenon being explained today?
29,8,Could we build a city underwater?,could we build a city underwater?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-29.html,What is the central phenomenon being explained today?
30,8,Ultimate Challenge: Design a future sustainable city,ultimate challenge: design a future sustainable city?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-8/day-30.html,What is the central phenomenon being explained today?
1,9,What is matter really made of?,what is matter really made of?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-01.html,What is the central phenomenon being explained today?
2,9,Why do particles move even when you can't see them?,why do particles move even when you can't see them?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-02.html,What is the central phenomenon being explained today?
3,9,How does diffusion work?,how does diffusion work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-03.html,What is the central phenomenon being explained today?
4,9,Why does temperature change particle motion?,why does temperature change particle motion?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-04.html,What is the central phenomenon being explained today?
5,9,Atoms: the tiny building blocks of everything,atoms: the tiny building blocks of everything?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-05.html,What is the central phenomenon being explained today?
6,9,How was the atom discovered?,how was the atom discovered?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-06.html,What is the central phenomenon being explained today?
7,9,Why are some atoms radioactive?,why are some atoms radioactive?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-07.html,What is the central phenomenon being explained today?
8,9,What makes an element different from another?,what makes an element different from another?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-08.html,What is the central phenomenon being explained today?
9,9,How do chemical bonds hold matter together?,how do chemical bonds hold matter together?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-09.html,What is the central phenomenon being explained today?
10,9,Why does mass stay conserved in a reaction?,why does mass stay conserved in a reaction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-10.html,What is the central phenomenon being explained today?
11,9,How does your body obtain energy from food?,how does your body obtain energy from food?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-11.html,What is the central phenomenon being explained today?
12,9,The architecture of a cell,the architecture of a cell?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-12.html,What is the central phenomenon being explained today?
13,9,Mitochondria: the cell's power plants,mitochondria: the cell's power plants?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-13.html,What is the central phenomenon being explained today?
14,9,Why is DNA so important?,why is dna so important?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-14.html,What is the central phenomenon being explained today?
15,9,How do cells divide?,how do cells divide?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-15.html,What is the central phenomenon being explained today?
16,9,Why do organisms need tissues?,why do organisms need tissues?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-16.html,What is the central phenomenon being explained today?
17,9,How does your brain communicate with your body?,how does your brain communicate with your body?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-17.html,What is the central phenomenon being explained today?
18,9,What exactly is force?,what exactly is force?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-18.html,What is the central phenomenon being explained today?
19,9,Why do objects resist changes in motion?,why do objects resist changes in motion?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-19.html,What is the central phenomenon being explained today?
20,9,How does gravity actually work?,how does gravity actually work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-20.html,What is the central phenomenon being explained today?
21,9,Why does the Moon orbit Earth?,why does the moon orbit earth?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-21.html,What is the central phenomenon being explained today?
22,9,Energy: where does it go?,energy: where does it go?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-22.html,What is the central phenomenon being explained today?
23,9,How does a roller coaster convert energy?,how does a roller coaster convert energy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-23.html,What is the central phenomenon being explained today?
24,9,Why can machines never be 100% efficient?,why can machines never be 100% efficient?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-24.html,What is the central phenomenon being explained today?
25,9,How does sound travel?,how does sound travel?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-25.html,What is the central phenomenon being explained today?
26,9,Why does sound change pitch?,why does sound change pitch?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-26.html,What is the central phenomenon being explained today?
27,9,Why are stars different colours?,why are stars different colours?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-27.html,What is the central phenomenon being explained today?
28,9,How do scientists know the universe is expanding?,how do scientists know the universe is expanding?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-28.html,What is the central phenomenon being explained today?
29,9,Could we ever travel to another star?,could we ever travel to another star?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-29.html,What is the central phenomenon being explained today?
30,9,Ultimate Challenge: Build a physics model explaining a real-world phenomenon,ultimate challenge: build a physics model explaining a real-world phenomenon?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-9/day-30.html,What is the central phenomenon being explained today?
1,10,Chemical reactions happening inside your body,chemical reactions happening inside your body?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-01.html,What is the central phenomenon being explained today?
2,10,How do we know a chemical reaction occurred?,how do we know a chemical reaction occurred?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-02.html,What is the central phenomenon being explained today?
3,10,Acids and bases inside everyday life,acids and bases inside everyday life?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-03.html,What is the central phenomenon being explained today?
4,10,Why does antacid work?,why does antacid work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-04.html,What is the central phenomenon being explained today?
5,10,Metals: why are they useful?,metals: why are they useful?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-05.html,What is the central phenomenon being explained today?
6,10,Why does corrosion happen?,why does corrosion happen?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-06.html,What is the central phenomenon being explained today?
7,10,How can corrosion be prevented?,how can corrosion be prevented?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-07.html,What is the central phenomenon being explained today?
8,10,Carbon: the element behind life,carbon: the element behind life?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-08.html,What is the central phenomenon being explained today?
9,10,Why can carbon form millions of compounds?,why can carbon form millions of compounds?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-09.html,What is the central phenomenon being explained today?
10,10,How soap actually removes dirt,how soap actually removes dirt?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-10.html,What is the central phenomenon being explained today?
11,10,How does DNA store information?,how does dna store information?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-11.html,What is the central phenomenon being explained today?
12,10,How are proteins produced from DNA instructions?,how are proteins produced from dna instructions?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-12.html,What is the central phenomenon being explained today?
13,10,Why are offspring similar but not identical?,why are offspring similar but not identical?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-13.html,What is the central phenomenon being explained today?
14,10,How does natural selection work?,how does natural selection work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-14.html,What is the central phenomenon being explained today?
15,10,Could humans evolve into a new species?,could humans evolve into a new species?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-15.html,What is the central phenomenon being explained today?
16,10,How does the human nervous system work?,how does the human nervous system work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-16.html,What is the central phenomenon being explained today?
17,10,How do hormones control the body?,how do hormones control the body?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-17.html,What is the central phenomenon being explained today?
18,10,Why do we need reproduction?,why do we need reproduction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-18.html,What is the central phenomenon being explained today?
19,10,How does an embryo develop?,how does an embryo develop?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-19.html,What is the central phenomenon being explained today?
20,10,What causes genetic diseases?,what causes genetic diseases?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-20.html,What is the central phenomenon being explained today?
21,10,Electricity: what is actually moving?,electricity: what is actually moving?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-21.html,What is the central phenomenon being explained today?
22,10,Why does resistance occur?,why does resistance occur?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-22.html,What is the central phenomenon being explained today?
23,10,How does household electricity work?,how does household electricity work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-23.html,What is the central phenomenon being explained today?
24,10,How does an electric motor work?,how does an electric motor work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-24.html,What is the central phenomenon being explained today?
25,10,How does electromagnetic induction work?,how does electromagnetic induction work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-25.html,What is the central phenomenon being explained today?
26,10,How does a camera see?,how does a camera see?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-26.html,What is the central phenomenon being explained today?
27,10,How does the human eye see?,how does the human eye see?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-27.html,What is the central phenomenon being explained today?
28,10,Why can't we see atoms with ordinary microscopes?,why can't we see atoms with ordinary microscopes?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-28.html,What is the central phenomenon being explained today?
29,10,The physics of nuclear energy,the physics of nuclear energy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-29.html,What is the central phenomenon being explained today?
30,10,Ultimate Challenge: Solve a real-world science problem using Class 10 concepts,ultimate challenge: solve a real-world science problem using class 10 concepts?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-10/day-30.html,What is the central phenomenon being explained today?
1,11,How scientists actually measure the universe,how scientists actually measure the universe?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-01.html,What is the central phenomenon being explained today?
2,11,Why dimensions and units matter,why dimensions and units matter?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-02.html,What is the central phenomenon being explained today?
3,11,Vectors: the mathematics of direction,vectors: the mathematics of direction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-03.html,What is the central phenomenon being explained today?
4,11,What does velocity really mean?,what does velocity really mean?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-04.html,What is the central phenomenon being explained today?
5,11,Why objects accelerate,why objects accelerate?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-05.html,What is the central phenomenon being explained today?
6,11,Newton's laws in the real world,newton's laws in the real world?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-06.html,What is the central phenomenon being explained today?
7,11,Why astronauts feel weightless,why astronauts feel weightless?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-07.html,What is the central phenomenon being explained today?
8,11,Conservation of momentum,conservation of momentum?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-08.html,What is the central phenomenon being explained today?
9,11,How rockets work,how rockets work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-09.html,What is the central phenomenon being explained today?
10,11,Rotational motion: why wheels matter,rotational motion: why wheels matter?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-10.html,What is the central phenomenon being explained today?
11,11,Why does a spinning top stay upright?,why does a spinning top stay upright?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-11.html,What is the central phenomenon being explained today?
12,11,Energy and the laws of nature,energy and the laws of nature?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-12.html,What is the central phenomenon being explained today?
13,11,How does gravity shape the universe?,how does gravity shape the universe?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-13.html,What is the central phenomenon being explained today?
14,11,The molecular world of matter,the molecular world of matter?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-14.html,What is the central phenomenon being explained today?
15,11,Why gases behave the way they do,why gases behave the way they do?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-15.html,What is the central phenomenon being explained today?
16,11,Thermodynamics: why heat flows,thermodynamics: why heat flows?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-16.html,What is the central phenomenon being explained today?
17,11,Entropy: why time seems to have a direction,entropy: why time seems to have a direction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-17.html,What is the central phenomenon being explained today?
18,11,What actually happens during a chemical reaction?,what actually happens during a chemical reaction?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-18.html,What is the central phenomenon being explained today?
19,11,Chemical equilibrium,chemical equilibrium?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-19.html,What is the central phenomenon being explained today?
20,11,Why pH matters to life,why ph matters to life?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-20.html,What is the central phenomenon being explained today?
21,11,The architecture of the living cell,the architecture of the living cell?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-21.html,What is the central phenomenon being explained today?
22,11,How enzymes accelerate life,how enzymes accelerate life?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-22.html,What is the central phenomenon being explained today?
23,11,Cellular respiration,cellular respiration?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-23.html,What is the central phenomenon being explained today?
24,11,Photosynthesis: how plants capture sunlight,photosynthesis: how plants capture sunlight?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-24.html,What is the central phenomenon being explained today?
25,11,How neurons communicate,how neurons communicate?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-25.html,What is the central phenomenon being explained today?
26,11,The human brain as an information-processing system,the human brain as an information-processing system?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-26.html,What is the central phenomenon being explained today?
27,11,How genes encode biological information,how genes encode biological information?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-27.html,What is the central phenomenon being explained today?
28,11,Evolution and the origin of biodiversity,evolution and the origin of biodiversity?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-28.html,What is the central phenomenon being explained today?
29,11,What makes Earth suitable for life?,what makes earth suitable for life?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-29.html,What is the central phenomenon being explained today?
30,11,Research Challenge: Explain one major unanswered scientific question,research challenge: explain one major unanswered scientific question?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-11/day-30.html,What is the central phenomenon being explained today?
1,12,What is electric charge?,what is electric charge?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-01.html,What is the central phenomenon being explained today?
2,12,How electric fields actually work,how electric fields actually work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-02.html,What is the central phenomenon being explained today?
3,12,Electric potential and energy,electric potential and energy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-03.html,What is the central phenomenon being explained today?
4,12,Why capacitors store energy,why capacitors store energy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-04.html,What is the central phenomenon being explained today?
5,12,How circuits really behave,how circuits really behave?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-05.html,What is the central phenomenon being explained today?
6,12,Why AC electricity is used in power grids,why ac electricity is used in power grids?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-06.html,What is the central phenomenon being explained today?
7,12,Electromagnetism: electricity creating magnetism,electromagnetism: electricity creating magnetism?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-07.html,What is the central phenomenon being explained today?
8,12,How electric motors work,how electric motors work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-08.html,What is the central phenomenon being explained today?
9,12,How generators work,how generators work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-09.html,What is the central phenomenon being explained today?
10,12,Maxwell's great unification,maxwell's great unification?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-10.html,What is the central phenomenon being explained today?
11,12,How electromagnetic waves travel through space,how electromagnetic waves travel through space?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-11.html,What is the central phenomenon being explained today?
